Transect 2.4   Atwell Gulch_108,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
2133,82,145,2,0.26,72.17,0,0,0,0,,,,,,,,,,,82,0,0
2134,121,145,2,0.42,78.8,15,6.9,0,0,,"Southern & closest to tag, tag 12cm S",,,,,,,,,121,0,0
2135,121.01,145,2,0.42,78.8,0,0,0,0,,"Northern, further from tag",,,,,,,,,121.01,0,0
3309,111,145,2,0.7,79.6,6,4.8,0,0,,10cm N of tag,,,,,,,,,111,,
2136,116,145,2,0.47,96.6,14.3,8.5,0,0,,"17cm to tag, Southern, closest to tag",,,,,,,,,116,0,0
2137,116.01,145,2,0.47,96.6,11.2,8.8,0,0,,"tag 26cm S, Northern",,,,,,,,,116.01,0,0
2138,116.02,145,2,0.47,96.6,5,5.7,0,0,,"tag 29.5 S, Northern most",,,,,,,,,116.02,0,0
2847,116.03,145,2,0.47,96.6,5.7,5.3,0,0,,tag 23cm S,,,,,,,,,116.03,0,0
NEW,,145,2,,,,,,,,,,,,,,,,,,,
NEW,,145,2,,,,,,,,,,,,,,,,,,,
NEW,,145,2,,,,,,,,,,,,,,,,,,,
NEW,,145,2,,,,,,,,,,,,,,,,,,,
NEW,,145,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 3   Fram,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
2139,72,146,3,0.69,1.05,6.2,6.4,0,0,,tag is 10 S,,,,,,,,,72,0,0
2140,69,146,3,0.12,3.8,8.8,6.4,0,0,,tag is 10 S,,,,,,,,,69,0,0
2141,118,146,3,0.42,32.3,5.1,6.9,0,0,,,,,,,,,,,118,0,0
2142,74,146,3,0.36,47.25,15.5,9.5,0,0,,12cm from nail,,,,,,,,,74,0,0
3310,672,146,3,0.3,61.9,8.6,7,0,0,,10 cm N from tag,,,,,,,,,672,,
2143,51,146,3,0.03,66.35,0,0,0,0,,,,,,,,,,,51,0,0
3806,556,146,3,0.9,68.6,2.8,2.5,0,0,,tag is 10 cm S of plant,,,,,,,,,556,,
2450,53,146,3,0.02,91.35,0,0,0,0,,17cm from tag,,,,,,,,,53,0,0
2144,102,146,3,0.04,92.5,6.6,6.6,0,0,,,,,,,,,,,102,0,0
NEW,,146,3,,,,,,,,,,,,,,,,,,,
NEW,,146,3,,,,,,,,,,,,,,,,,,,
NEW,,146,3,,,,,,,,,,,,,,,,,,,
NEW,,146,3,,,,,,,,,,,,,,,,,,,
NEW,,146,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 4   Fram,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
3634,497,147,4,0.18,54.5,3.6,4.1,0,0,,10cm N,,,,,,,,,497,0,0
2451,73,147,4,0.06,92.15,10.6,7.5,0,0,,,,,,,,,,,73,0,0
NEW,,147,4,,,,,,,,,,,,,,,,,,,
NEW,,147,4,,,,,,,,,,,,,,,,,,,
NEW,,147,4,,,,,,,,,,,,,,,,,,,
NEW,,147,4,,,,,,,,,,,,,,,,,,,
NEW,,147,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 5   Fram,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
2145,106,135,5,0.16,0.6,0,0,0,0,,24cm N of tag,,,,,,,,,106,0,0
2146,110,135,5,0.66,4.8,0,0,0,0,,"24cm N of tag, 1deg",,,,,,,,,110,0,0
2147,110.01,135,5,0.66,4.8,0,0,0,0,,"20cm N of tag, W of 1deg",,,,,,,,,110.01,0,0
3807,1174,135,5,0.66,23.2,3,2,0,0,,tag 10 cm N of plant,,,,,,,,,1174,,
2148,108,135,5,0.07,27.7,0,0,0,0,,18cm N,,,,,,,,,108,0,0
2149,123,135,5,0,46.1,10.2,7.8,0,0,,23cm N,,,,,,,,,123,0,0
2150,123.01,135,5,0,46.1,5.3,4.7,0,0,,E of 1deg ; 22 SW to tag,,,,,,,,,123.01,0,0
2848,123.02,135,5,0,46.1,4.6,4.8,0,0,,N of 123.01 & 2 dead ones ; tag 28 S,,,,,,,,,123.02,0,0
2452,20,135,5,0.35,87.65,7.3,7,0,0,,18cm from tag (20),,,,,,,,,20,0,0
NEW,,135,5,,,,,,,,,,,,,,,,,,,
NEW,,135,5,,,,,,,,,,,,,,,,,,,
NEW,,135,5,,,,,,,,,,,,,,,,,,,
NEW,,135,5,,,,,,,,,,,,,,,,,,,
NEW,,135,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 6   Fram,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
2151,111,136,6,0.5,23.7,3.3,4.7,0,0,,tag 36 NE of plant,,,,,,,,,111,0,0
2152,60,136,6,0.46,26.05,0,0,0,0,,"Southern most, closest to tag",,,,,,,,,60,0,0
2153,60.01,136,6,0.46,26.05,0,0,0,0,,N most,,,,,,,,,60.01,0,0
2154,60.02,136,6,0.46,26.05,0,0,0,0,,"16cm N of tag, tag 17 S",,,,,,,,,60.02,0,0
2155,48,136,6,0.72,26.3,0,0,0,0,,,,,,,,,,,48,0,0
2156,113,136,6,0.46,31.9,11.8,6.6,0,0,,11cm S to tag ; 8 cm SE,,,,,,,,,113,0,0
3008,113.01,136,6,0.46,31.9,0,0,0,0,,7 cm S to tag,,,,,,,,,113.01,,
2157,112,136,6,0.05,36.37,0,0,0,0,,tag was 12 S,,,,,,,,,112,0,0
3312,523,136,6,0.75,44.8,4.8,5,0,0,,"10cm N of tag, 12 N",,,,,,,,,523,,
3311,150,136,6,0.93,55,4.7,5.2,0,0,,10cm N of tag,,,,,,,,,150,,
NEW,,136,6,,,,,,,,,,,,,,,,,,,
NEW,,136,6,,,,,,,,,,,,,,,,,,,
NEW,,136,6,,,,,,,,,,,,,,,,,,,
NEW,,136,6,,,,,,,,,,,,,,,,,,,
NEW,,136,6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 7   Fram,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
2158,62,137,7,31,0.4,,,,,,in tuft of grass,,,,,,,,,62,0,0
3811,1138,137,7,0.6,5.13,5.1,4.2,0,0,,tag 10 cm S of plant,,,,,,,,,1138,,
3678,95000.002,137,7,0.7,24.2,5.5,4.2,0,0,,,,,,,,,,,95000.002,,
2159,43,137,7,0.66,27.2,,,,,,,,,,,,,,,43,0,0
2849,43.01,137,7,0.66,27.2,0,0,0,0,,tag 13.5cm SW,,,,,,,,,43.01,0,0
2850,43.02,137,7,0.66,27.2,2.7,4.3,0,0,,"under dead with no tag, tag 35cm SW",,,,,,,,,43.02,0,0
3810,43.03,137,7,0.66,27.2,1.5,1.1,0,0,,tag 12 W,,,,,,,,,43.03,,
2160,105,137,7,9,32.58,0,0,0,0,,"tag left of tape->brush, tag 21 ESE",,,,,,,,,105,0,0
2161,105.1,137,7,9,32.58,0,0,0,0,,"out side of .00, toward 100m end, tag 18 E",,,,,,,,,105.1,0,0
2162,105.2,137,7,9,32.58,0,0,0,0,,"out side of 105, clockwise from 105.01, tag 27 E",,,,,,,,,105.2,0,0
2163,105.3,137,7,9,32.58,0,0,0,0,,"clockwise, tag 30 SE",,,,,,,,,105.3,0,0
2164,105.4,137,7,9,32.58,0,0,0,0,,"clockwise, tag 17 SSE",,,,,,,,,105.4,0,0
2165,93,137,7,22,41.62,6.4,5.9,0,0,,"closest to tag (15cm from tag), ",,,,,,,,,93,0,0
2166,93.1,137,7,22,41.62,7.3,6.4,0,0,,"toward 0m end of tape, 23cm from tag, ",,,,,,,,,93.1,0,0
3009,144,137,7,0.13,46.55,7.9,6.9,0,0,,tag 10 S,,,,,,,,,144,,
3480,162,137,7,0.68,50.6,3.9,4.2,0,0,,tag 10 cm N,,,,,,,,,162,,
3010,513,137,7,0.1,50.8,5.7,6.6,0,0,,tag 10 N,,,,,,,,,513,,
2454,728,137,7,0.75,53.2,5.6,4.9,0,0,,"closest to stake, tag 18 N",,,,,,,,,728,0,0
2455,728.01,137,7,0.75,53.2,4.8,3.6,0,0,,"clockwise ~3o'c, tag 20 NNW",,,,,,,,,728.01,0,0
2456,728.02,137,7,0.75,53.2,4.9,4.1,0,0,,"clockwise, tag 24 N ; NNW",,,,,,,,,728.02,0,0
2457,728.03,137,7,0.75,53.2,5.3,3.5,0,0,,"clockwise, tag 26 N",,,,,,,,,728.03,0,0
2458,728.04,137,7,0.75,53.2,5.6,5.6,0,0,,"clockwise, tag 21 N",,,,,,,,,728.04,0,0
2459,728.05,137,7,0.75,53.2,6.3,2.7,0,0,,growed out of damaged .02 ; 25 N to tag,,,,,,,,,728.05,0,0
3808,728.06,137,7,0.75,53.2,3.4,3.5,0,0,,tag 21 cm NW,,,,,,,,,728.06,,
3809,728.07,137,7,0.75,53.2,3.4,2.3,0,0,,tag 21 cm NNW,,,,,,,,,728.07,,
3011,516,137,7,0.74,72.51,4.1,3.2,0,0,,tag 10 S,,,,,,,,,516,,
2453,56,137,7,0.35,75.25,,,,,,,,,,,,,,,56,0,0
2167,86,137,7,71,84.06,12.5,6.2,0,0,,closest to tag (12cm) ; tag 12 S,,,,,,,,,86,0,0
2168,86.1,137,7,71,84.06,11.4,7.1,0,0,,closest to 0m end ; tag 15 cm SE,,,,,,,,,86.1,0,0
3012,563,137,7,0.11,86.25,14,9.9,0,0,,tag 10 NNW,,,,,,,,,563,,
NEW,,137,7,,,,,,,,,,,,,,,,,,,
NEW,,137,7,,,,,,,,,,,,,,,,,,,
NEW,,137,7,,,,,,,,,,,,,,,,,,,
NEW,,137,7,,,,,,,,,,,,,,,,,,,
NEW,,137,7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 8   Fram,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
2169,103,138,8,65,6.1,0,0,0,0,,20cm W of tag,,,,,,,,,103,0,0
2170,103.01,138,8,65,6.1,0,0,0,0,,"25cm N tag, SW 1deg",,,,,,,,,103.01,0,0
2171,202,138,8,90,9.5,,,,,,21cm N,,,,,,,,,202,0,0
2172,1257,138,8,45,26.7,9.1,8.3,0,0,,15cm N,,,,,,,,,1257,0,0
2851,1257.01,138,8,45,26.7,,,,,,"13.5cm from tag, 1:30o'c",,,,,,,,,1257.01,0,0
3812,1172,138,8,0.82,28.65,3.4,2.8,0,0,,tag 10 cm N,,,,,,,,,1172,,
3679,9999,138,8,0.32,44.09,3.4,5,0,0,,,,,,,,,,,9999,,
3813,340,138,8,0.83,47.3,7.5,7.6,0,0,,tag 10 cm NNE,,,,,,,,,340,,
2173,1222,138,8,56,54.2,10.4,6.8,0,0,,20cm N,,,,,,,,,1222,0,0
3481,1222.01,138,8,56,54.2,0,0,0,0,,Tag 13cm S,,,,,,,,,1222.01,,
2174,61,138,8,25,69,0,0,0,0,,17cm N,,,,,,,,,61,0,0
2460,61.01,138,8,25,69,,,,,,S of primary 10 cm,,,,,,,,,61.01,0,0
2175,104,138,8,72,72.6,0,0,0,0,,"1deg, 26cm N of tag",,,,,,,,,104,0,0
2176,104.01,138,8,72,72.6,13,7.1,0,0,,"S side of 1deg, tag 19 S",,,,,,,,,104.01,0,0
3313,104.02,138,8,72,72.6,,,,,,38cm NW of tag,,,,,,,,,104.02,,
3314,104.03,138,8,72,72.6,2.8,3.2,0,0,,37cm NE of tag,,,,,,,,,104.03,,
2177,87,138,8,25,96.9,16.5,7,0,0,,21cm N,,,,,,,,,87,0,0
NEW,,138,8,,,,,,,,,,,,,,,,,,,
NEW,,138,8,,,,,,,,,,,,,,,,,,,
NEW,,138,8,,,,,,,,,,,,,,,,,,,
NEW,,138,8,,,,,,,,,,,,,,,,,,,
NEW,,138,8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 9   Fram,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
2190,81,139,9,0.77,5.5,0,0,0,0,,,,,,,,,,,81,0,0
2189,99,139,9,0.47,7.9,0,0,0,0,,,,,,,,,,,99,0,0
2188,37,139,9,0.05,9.65,11.5,6.8,0,0,,"19.5cm from tag, tag is 9 S",,,,,,,,,37,0,0
2186,41,139,9,0.59,15.5,0,0,0,0,,,,,,,,,,,41,0,0
2187,41.01,139,9,0.59,15.5,,,,,,21cm N,,,,,,,,,41.01,0,0
2185,66,139,9,0.19,26.6,7.1,6.9,0,0,,"12cm to tag, tag SSE",,,,,,,,,66,0,0
3315,66.01,139,9,0.19,26.6,,,,,,tag 13 cm SSE,,,,,,,,,66.01,,
3316,66.02,139,9,0.19,26.6,2.6,1.1,0,0,,tag 18cm SSE,,,,,,,,,66.02,,
3317,66.03,139,9,0.19,26.6,0,0,0,0,,tag 45cm N,,,,,,,,,66.03,,
2183,114,139,9,0.49,28.35,6.8,6.2,0,0,,"14cm N NW, tag NW",,,,,,,,,114,0,0
2184,114.01,139,9,0.49,28.35,0,0,0,0,,12cm SE,,,,,,,,,114.01,0,0
2182,109,139,9,0.49,30.75,0,0,0,0,,"10.5cm from tag, Tag S",,,,,,,,,109,0,0
2180,119,139,9,0.55,53.3,6.8,5.6,0,0,,"13cm N NW, tag NNW",,,,,,,,,119,0,0
2181,119.01,139,9,0.55,53.3,0,0,0,0,,11cm S SE,,,,,,,,,119.01,0,0
2179,1139,139,9,0.54,72.75,6.5,5.7,0,0,,,,,,,,,,,1139,0,0
3680,9999,139,9,0.48,78.8,0,0,0,0,,,,,,,,,,,9999,,
3814,339,139,9,0.73,79,2.7,3.4,0,0,,tag 10 N,,,,,,,,,339,,
3815,339.01,139,9,0.73,79,1.4,1.3,0,0,,tag 49 cm S,,,,,,,,,339.01,,
2178,47,139,9,0.25,99.05,0,0,0,0,,,,,,,,,,,47,0,0
NEW,,139,9,,,,,,,,,,,,,,,,,,,
NEW,,139,9,,,,,,,,,,,,,,,,,,,
NEW,,139,9,,,,,,,,,,,,,,,,,,,
NEW,,139,9,,,,,,,,,,,,,,,,,,,
NEW,,139,9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 10   Fram,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
3015,550,140,10,0.7,16,7,6.4,0,0,,in cheatgrass,,,,,,,,,550,,
3014,134,140,10,0.22,27.97,5.6,6.9,0,0,,tag 10 N,,,,,,,,,134,,
2191,85,140,10,43,28.75,14,8.4,0,0,,12cm to tag,,,,,,,,,85,0,0
2192,92,140,10,73,29.85,9.5,6.6,0,0,,11cm to tag,,,,,,,,,92,0,0
2193,83,140,10,83,35.9,0,0,0,0,,"tag 15cm SE, in Lepidium",,,,,,,,,83,0,0
3318,159,140,10,0.9,56.13,7.2,6,0,0,,,,,,,,,,,159,,
3013,532,140,10,0.97,72.67,6.1,5.6,0,0,,in cheatgrass,,,,,,,,,532,,
2194,117,140,10,8,72.85,0,0,0,0,,tag not found,,,,,,,,,117,0,0
2195,68,140,10,44,87.21,0,0,0,0,,"~10cm from tag, tag in grass",,,,,,,,,68,0,0
NEW,,140,10,,,,,,,,,,,,,,,,,,,
NEW,,140,10,,,,,,,,,,,,,,,,,,,
NEW,,140,10,,,,,,,,,,,,,,,,,,,
NEW,,140,10,,,,,,,,,,,,,,,,,,,
NEW,,140,10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 11   Fram,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
2217,26,141,11,0.17,0.7,12.5,8.6,0,0,,15cm N of tag,,,,,,,,,26,0,0
3016,26.01,141,11,0.17,0.7,3.4,3,0,0,,"11 S to tag, under26 12oclock",,,,,,,,,26.01,,
2213,77,141,11,0.1,7.9,13,9.5,0,0,,"1deg, 27cm N",,,,,,,,,77,0,0
2214,77.01,141,11,0.1,7.9,0,0,0,0,,"E 1deg, 16cm N",,,,,,,,,77.01,0,0
2215,77.02,141,11,0.1,7.9,0,0,0,0,,"25 cm N, E 1deg",,,,,,,,,77.02,0,0
2216,77.03,141,11,0.1,7.9,0,0,0,0,,28cm N,,,,,,,,,77.03,0,0
3319,508,141,11,0.75,29,,,,,,tag 110cm S of cactus,,,,,,,,,508,,
3482,508.01,141,11,0.75,29,2.2,3.9,0,0,,"tag 10WNW, on other plant",,,,,,,,,508.01,,
3320,142,141,11,0.65,35,3.5,5.4,0,0,,tag 22cm W of cactus,,,,,,,,,142,,
3321,142.01,141,11,0.65,35,7.5,5.1,0,0,,"tag 23 cm from cactus, N of 142",,,,,,,,,142.01,,
3322,142.02,141,11,0.65,35,4,3.2,0,0,,"25cm W of cactus, NE of 142.01",,,,,,,,,142.02,,
2197,50,141,11,0.96,55.25,13.5,6.4,0,0,,"18cm W, 1deg, N ; tag 19 s",,,,,,,,,50,0,0
2198,50.01,141,11,0.96,55.25,6.7,3.9,0,0,,"1o'c from 1deg, tag 14cm S",,,,,,,,,50.01,0,0
2199,50.02,141,11,0.96,55.25,5.2,4,0,0,,"3o'c, above .03, tag 17cm SSW",,,,,,,,,50.02,0,0
2200,50.03,141,11,0.96,55.25,5.5,4.3,0,0,,"3o'c, below .02, tag 21cm SSE",,,,,,,,,50.03,0,0
2201,50.04,141,11,0.96,55.25,5.5,4.3,0,0,,"4o'c, tag 24cm SSE",,,,,,,,,50.04,0,0
2202,50.05,141,11,0.96,55.25,4.4,4.3,0,0,,"4o'c, just N of .04, tag 31cm SSE",,,,,,,,,50.05,0,0
2203,50.06,141,11,0.96,55.25,3.9,4.2,0,0,,"5o'c, tag 33.5 S",,,,,,,,,50.06,0,0
2204,50.07,141,11,0.96,55.25,5.4,3.6,0,0,,"5o'c, closest to 1deg, tag 27.5 S",,,,,,,,,50.07,0,0
2205,50.08,141,11,0.96,55.25,6.2,4.1,0,0,,"5o'c, furthest from 1deg, NW of .05, tag 30cm S",,,,,,,,,50.08,0,0
2206,50.09,141,11,0.96,55.25,4.7,4.6,0,0,,"5o'c, N of .07, tag33.5S",,,,,,,,,50.09,0,0
2207,50.1,141,11,0.96,55.25,7.2,5.1,0,0,,"6o'c, tag 26cm SSW",,,,,,,,,50.1,0,0
2208,50.11,141,11,0.96,55.25,6.2,5.4,0,0,,"6o'c, N of .1, tag 32cm SSW",,,,,,,,,50.11,0,0
2209,50.12,141,11,0.96,55.25,7.6,3.9,0,0,,7o'c on top of .13 ; 26 cm SSW to tag,,,,,,,,,50.12,0,0
2210,50.13,141,11,0.96,55.25,2.1,2,0,0,,"7o'c, on bottom of .12 ; tag 24 SSW",,,,,,,,,50.13,0,0
2211,50.14,141,11,0.96,55.25,2,1.3,0,0,,"8o'c, tag 26cm SW",,,,,,,,,50.14,0,0
2212,50.15,141,11,0.96,55.25,0,0,0,0,,"9o'c, tag 12cm SW",,,,,,,,,50.15,0,0
2461,50.16,141,11,0.96,55.25,0,0,0,0,,between 3 o'c and 4 o'c,,,,,,,,,50.16,0,0
3017,50.17,141,11,0.96,55.25,0,0,0,0,,3 o'clock furthest W,,,,,,,,,50.17,,
3816,50.18,141,11,0.96,55.25,1.9,1,0,0,,"tag 22.5 WSW, 8 o'clock",,,,,,,,,50.18,,
3817,50.19,141,11,0.96,55.25,2.5,1.9,0,0,,"tag 20.5 SSW, 9 o'clock",,,,,,,,,50.19,,
2196,57,141,11,0.26,86.8,15.5,7.8,0,0,,"20cm W, tag 15cm S",,,,,,,,,57,0,0
NEW,,141,11,,,,,,,,,,,,,,,,,,,
NEW,,141,11,,,,,,,,,,,,,,,,,,,
NEW,,141,11,,,,,,,,,,,,,,,,,,,
NEW,,141,11,,,,,,,,,,,,,,,,,,,
NEW,,141,11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 12   Fram,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
2218,5,142,12,42,33.12,0,0,0,0,,"7cm away, tag 7cm SE",,,,,,,,,5,0,0
3018,545,142,12,0.2,37.5,7,6.1,0,0,,15 cm S to nail (closest),,,,,,,,,545,,
3087,545.01,142,12,0.2,37.5,7.2,5.7,0,0,,tag 21cm S,,,,,,,,,545.01,,
3088,545.02,142,12,0.2,37.5,6.9,6.8,0,0,,tag 21cm SSE,,,,,,,,,545.02,,
3089,128,142,12,0.15,45,11,8.6,0,0,,tag 25cm SO,,,,,,,,,128,,
3090,155,142,12,1.6,87.4,3.5,4.7,0,0,,tag 21cm SO,,,,,,,,,155,,
NEW,,142,12,,,,,,,,,,,,,,,,,,,
NEW,,142,12,,,,,,,,,,,,,,,,,,,
NEW,,142,12,,,,,,,,,,,,,,,,,,,
NEW,,142,12,,,,,,,,,,,,,,,,,,,
NEW,,142,12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 13   Fram,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
2219,95,143,13,0.3,10.7,,,,,,16cm N,,,,,,,,,95,0,0
2220,95.01,143,13,0.3,10.7,,,,,,"20cm N NW, W of 1st",,,,,,,,,95.01,0,0
2221,95.02,143,13,0.3,10.7,,,,,,"17cm N NW, 27 cm",,,,,,,,,95.02,0,0
2222,95.03,143,13,0.3,10.7,,,,,,"18cm N, in center",,,,,,,,,95.03,0,0
2223,95.04,143,13,0.3,10.7,,,,,,17cm N NW (2014) 32 cm NNW of tag,,,,,,,,,95.04,0,0
2224,95.05,143,13,0.3,10.7,,,,,,14cm N NE,,,,,,,,,95.05,0,0
2225,95.06,143,13,0.3,10.7,,,,,,35cm N NW,,,,,,,,,95.06,0,0
2226,95.07,143,13,0.3,10.7,,,,,,43cm N NW,,,,,,,,,95.07,0,0
2227,95.08,143,13,0.3,10.7,,,,,,41cm N,,,,,,,,,95.08,0,0
2228,95.09,143,13,0.3,10.7,,,,,,37cm N,,,,,,,,,95.09,0,0
2229,95.1,143,13,0.3,10.7,6,5,0,0,,"38cm N, high up ; plant is N",,,,,,,,,95.1,0,0
2230,95.11,143,13,0.3,10.7,,,,,,44cm N,,,,,,,,,95.11,0,0
